ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|ALADEG-PWY|	L-alanine degradation I	false	50	0	1	0	ALARACECAT-RXN 
|ALANINE-DEG3-PWY|	L-alanine degradation III	false	0	0	0	0	
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	false	0	0	0	0	
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERVAL-RXN ALARACECAT-RXN VALINE-PYRUVATE-AMINOTRANSFER-RXN 
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	false	0	0	1	0	
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	false	0	0	0	0	
|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	false	66	0	0	0	F16ALDOLASE-RXN TRIOSEPISOMERIZATION-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN RXN-15513 GLUCOKIN-RXN 
|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	false	40	0	0	0	PHENDEHYD-RXN RXN-10814 
|ARABCAT-PWY|	L-arabinose degradation I	false	0	0	0	0	
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	false	66	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN RXN-14116 
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	false	33	0	0	0	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN 
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	false	50	1	0	0	1.2.1.54-RXN 
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	33	0	0	0	GUANIDINOBUTANAMIDE-NH3-RXN 
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	false	0	0	0	0	
|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	false	75	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN GLUTKIN-RXN GLUTSEMIALDEHYDROG-RXN 
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	false	33	0	2	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN 
|ARGSPECAT-PWY|	spermine biosynthesis	false	0	0	1	0	
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	true	100	0	2	2	ARGSUCCINSYN-RXN ARGSUCCINLYA-RXN ORNCARBAMTRANSFER-RXN ACETYLORNTRANSAM-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLGLUTKIN-RXN GLUTAMATE-N-ACETYLTRANSFERASE-RXN CARBPSYN-RXN N-ACETYLTRANSFER-RXN 
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	true	100	0	0	0	ASNSYNB-RXN 
|ASPARAGINE-DEG1-PWY-1|	L-asparagine degradation III (mammalian)	false	25	0	0	0	ASPAMINOTRANS-RXN 
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	false	0	0	0	0	
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	false	0	0	0	0	
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPSYNII-PWY|	cyanide detoxification I	false	33	0	0	0	L-3-CYANOALANINE-SYNTHASE-RXN 
|AST-PWY|	L-arginine degradation II (AST pathway)	false	20	0	0	0	SUCCORNTRANSAM-RXN 
|BETA-ALA-DEGRADATION-I-PWY|	&beta;-alanine degradation I	true	100	0	0	0	RXN-2901 RXN-2902 
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	true	100	0	0	0	CHD-RXN BADH-RXN 
|BGALACT-PWY|	lactose degradation III	false	0	1	0	0	
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	false	0	0	0	0	
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	false	61	0	1	0	PHOSGLYPHOS-RXN 1.2.1.13-RXN TRIOSEPISOMERIZATION-RXN F16ALDOLASE-RXN 1TRANSKETO-RXN 2TRANSKETO-RXN RIBULP3EPIM-RXN RIB5PISOM-RXN 
|CAMALEXIN-SYN|	camalexin biosynthesis	false	0	10	0	0	
|CARNMET-PWY|	L-carnitine degradation I	false	25	0	0	0	CARNDETRU-RXN 
|CATECHOL-ORTHO-CLEAVAGE-PWY|	catechol degradation to &beta;-ketoadipate	false	0	0	1	0	
|CENTBENZCOA-PWY|	benzoyl-CoA degradation II (anaerobic)	false	28	2	1	0	
|CENTFERM-PWY|	pyruvate fermentation to butanoate	false	62	0	0	0	ACETYL-COA-ACETYLTRANSFER-RXN ACETYL-COA-ACETYLTRANSFER-RXN RXN-11662 BUTYRYL-COA-DEHYDROGENASE-RXN RXN-11667 
|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	false	33	0	2	0	UROGENDECARBOX-RXN RXN1F-20 RXN0-1461 
|CHOLINE-BETAINE-ANA-PWY|	choline degradation I	true	100	0	0	0	BADH-RXN CHD-RXN 
|CITRULBIO-PWY|	L-citrulline biosynthesis	false	62	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN ORNCARBAMTRANSFER-RXN GLUTKIN-RXN GLUTSEMIALDEHYDROG-RXN RXN-14903 
|CITRULLINE-DEG-PWY|	L-citrulline degradation	false	50	0	1	1	ORNCARBAMTRANSFER-RXN 
|CO2FORM-PWY|	methanogenesis from methanol	false	0	0	0	0	
|COA-PWY|	coenzyme A biosynthesis I (prokaryotic)	true	75	0	1	1	PANTEPADENYLYLTRAN-RXN P-PANTOCYSDECARB-RXN P-PANTOCYSLIG-RXN 
|CODH-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	false	44	0	2	1	FORMATE-DEHYDROGENASE-NADP+-RXN METHENYLTHFCYCLOHYDRO-RXN FORMATETHFLIG-RXN METHYLENETHFDEHYDROG-NADP-RXN 
|CRNFORCAT-PWY|	creatinine degradation I	false	50	0	0	0	CREATINASE-RXN SARCOSINE-DEHYDROGENASE-RXN 
|CYANCAT-PWY|	cyanate degradation	false	0	0	1	0	
|CYCLOHEXANOL-OXIDATION-PWY|	cyclohexanol degradation	false	40	1	1	0	6-OXOHEXANOATE-OXIDATION-RXN 
|CYSTEINE-DEG-PWY|	L-cysteine degradation I	false	0	1	0	0	
|CYSTSYN-PWY|	L-cysteine biosynthesis I	false	50	0	0	0	ACSERLY-RXN 
|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	true	100	0	1	1	DIAMINOPIMEPIM-RXN DIAMINOPIMDECARB-RXN SUCCDIAMINOPIMDESUCC-RXN SUCCINYLDIAMINOPIMTRANS-RXN TETHYDPICSUCC-RXN DIHYDRODIPICSYN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN ASPARTATEKIN-RXN RXN-14014 
|DARABCATK12-PWY|	D-arabinose degradation I	false	25	0	1	0	GLYCOLALD-DEHYDROG-RXN 
|DARABCAT-PWY|	D-arabinose degradation II	false	0	0	2	0	
|DARABITOLUTIL-PWY|	D-arabitol degradation	false	0	0	0	0	
|DENITRIFICATION-PWY|	nitrate reduction I (denitrification)	false	20	1	2	0	
|DESULFONATION-PWY|	benzenesulfonate degradation	false	0	1	0	0	
|DETOX1-PWY|	superoxide radicals degradation	false	33	0	0	0	CATAL-RXN 
|DHGLUCONATE-PYR-CAT-PWY|	glucose degradation (oxidative)	false	0	0	0	0	
|DISSULFRED-PWY|	dissimilatory sulfate reduction I (to hydrogen sufide))	false	0	0	0	0	
|DTDPRHAMSYN-PWY|	dTDP-L-rhamnose biosynthesis	false	0	0	0	0	
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff shunt	false	0	0	0	0	
|ETHYL-PWY|	ethylene biosynthesis I (plants)	false	33	0	0	0	S-ADENMETSYN-RXN 
|ETOH-ACETYLCOA-ANA-PWY|	ethanol degradation I	false	50	0	1	0	ALCOHOL-DEHYDROG-RXN 
|FAO-PWY|	fatty acid &beta;-oxidation I	true	100	1	0	0	OHACYL-COA-DEHYDROG-RXN KETOACYLCOATHIOL-RXN OHBUTYRYL-COA-EPIM-RXN ACYLCOADEHYDROG-RXN ENOYL-COA-DELTA-ISOM-RXN ENOYL-COA-HYDRAT-RXN 
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	true	93	0	0	0	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN ENOYL-ACP-REDUCT-NADPH-RXN ENOYL-ACP-REDUCT-NADPH-RXN ENOYL-ACP-REDUCT-NADPH-RXN ENOYL-ACP-REDUCT-NADPH-RXN ENOYL-ACP-REDUCT-NADH-RXN 3-OXOACYL-ACP-REDUCT-RXN 3-OXOACYL-ACP-REDUCT-RXN 3-OXOACYL-ACP-REDUCT-RXN 3-OXOACYL-ACP-SYNTH-RXN 3-OXOACYL-ACP-SYNTH-RXN 3-OXOACYL-ACP-SYNTH-RXN 3-OXOACYL-ACP-SYNTH-RXN 
|FERMENTATION-PWY|	mixed acid fermentation	false	61	0	0	0	ALCOHOL-DEHYDROG-RXN PEPDEPHOS-RXN FUMHYDR-RXN PEPCARBOX-RXN R601-RXN CITSYN-RXN CITSYN-RXN ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN ISOCITDEH-RXN MALATE-DEH-RXN 
|FESULFOX-PWY|	sulfur oxidation II (Fe+3-dependent)	false	0	2	0	0	
|FLUORENE-DEG-9-ONE-PWY|	fluorene degradation I	false	0	6	0	0	
|FORMASS-PWY|	formaldehyde oxidation IV (thiol-independent)	false	0	0	0	0	
|FUCCAT-PWY|	fucose degradation	false	0	0	1	0	
|GALACTARDEG-PWY|	D-galactarate degradation I	false	50	0	0	0	GALACTARDEHYDRA-RXN GKI-RXN 
|GALACTCAT-PWY|	D-galactonate degradation	false	16	0	0	0	GALACTONDEHYDRAT-RXN 
|GALACTITOLCAT-PWY|	galactitol degradation	false	0	0	1	0	
|GALACTUROCAT-PWY|	D-galacturonate degradation I	false	14	0	0	0	ALTRODEHYDRAT-RXN 
|GALDEG-PWY|	D-galactose degradation II	false	0	0	1	0	
|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	false	0	0	1	0	
|GALLATE-DEGRADATION-I-PWY|	gallate degradation II	false	25	1	0	0	
|GAMMAHEXCHLORDEG-PWY|	&gamma;-hexachlorocyclohexane degradation	false	25	2	0	0	
|GDPRHAMSYN-PWY|	GDP-D-rhamnose biosynthesis	false	0	0	1	0	
|GLNSYN-PWY|	L-glutamine biosynthesis I	true	100	0	0	0	GLUTAMINESYN-RXN 
|GLUAMCAT-PWY|	N-acetylglucosamine degradation I	false	0	0	0	0	
|GLUCARDEG-PWY|	D-glucarate degradation I	false	25	0	0	0	GKI-RXN 
|GLUCONEO-PWY|	gluconeogenesis I	false	69	0	0	0	F16ALDOLASE-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPCARBOXYKIN-RXN MALIC-NADP-RXN TRIOSEPISOMERIZATION-RXN 1.1.1.39-RXN MALATE-DEH-RXN 
|GLUCONSUPER-PWY|	D-gluconate degradation	false	0	0	0	0	
|GLUCOSE1PMETAB-PWY|	glucose and glucose-1-phosphate degradation	false	40	0	0	0	PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN 
|GLUGLNSYN-PWY|	L-glutamate biosynthesis IV	true	100	0	0	0	GLUTAMATE-SYNTHASE-NADH-RXN 
|GLUTAMATE-DEG1-PWY|	L-glutamate degradation I	true	100	0	0	0	GLUTAMATE-DEHYDROGENASE-RXN 
|GLUTAMATE-SYN2-PWY|	L-glutamate biosynthesis II	false	0	0	0	0	
|GLUTAMINDEG-PWY|	L-glutamine degradation I	false	0	0	0	0	
|GLUTAMINEFUM-PWY|	L-glutamine degradation II	true	100	0	0	0	GLUTAMATESYN-RXN 
|GLUTATHIONESYN-PWY|	glutathione biosynthesis	true	100	0	0	0	GLUTCYSLIG-RXN GLUTATHIONE-SYN-RXN 
|GLUTDEG-PWY|	L-glutamate degradation II	true	100	0	0	0	ASPAMINOTRANS-RXN ASPARTASE-RXN 
|GLUTORN-PWY|	L-ornithine biosynthesis I	true	80	0	0	0	N-ACETYLTRANSFER-RXN ACETYLGLUTKIN-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLORNTRANSAM-RXN 
|GLUT-REDOX-PWY|	glutathione-glutaredoxin redox reactions	false	0	0	0	0	
|GLUTSYNIII-PWY|	L-glutamate biosynthesis III	false	0	0	0	0	
|GLUTSYN-PWY|	L-glutamate biosynthesis I	true	100	0	0	0	GLUTAMATESYN-RXN 
|GLYCEROLMETAB-PWY|	glycerol degradation V	false	0	0	0	0	
|GLYCGREAT-PWY|	creatine biosynthesis	false	0	0	2	0	
|GLYCLEAV-PWY|	glycine cleavage	true	100	0	1	1	GCVP-RXN GCVT-RXN RXN-8629 
|GLYCOCAT-PWY|	glycogen degradation I	false	22	0	1	0	PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN 
|GLYCOGENSYNTH-PWY|	glycogen biosynthesis I (from ADP-D-Glucose)	false	25	0	1	0	PHOSPHOGLUCMUT-RXN 
|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	true	75	0	1	1	GLYOCARBOLIG-RXN GLYCOLATEDEHYDRO-RXN GKI-RXN 
|GLYCOLYSIS|	glycolysis I (from glucose 6-phosphate)	false	58	0	0	0	PEPDEPHOS-RXN 2PGADEHYDRAT-RXN PHOSGLYPHOS-RXN GAPOXNPHOSPHN-RXN TRIOSEPISOMERIZATION-RXN F16ALDOLASE-RXN RXN-15513 
|GLYOXDEG-PWY|	glycolate and glyoxylate degradation II	true	100	0	0	0	MALSYN-RXN GLYCOLATEDEHYDRO-RXN 
|GLYOXYLATE-BYPASS|	glyoxylate cycle	true	100	0	2	2	MALSYN-RXN ISOCIT-CLEAV-RXN ACONITATEHYDR-RXN CITSYN-RXN CITSYN-RXN ACONITATEDEHYDR-RXN MALATE-DEH-RXN 
|GLYSYN-ALA-PWY|	glycine biosynthesis III	false	0	0	0	0	
|GLYSYN-PWY|	glycine biosynthesis I	true	100	0	0	0	GLYOHMETRANS-RXN 
|GLYSYN-THR-PWY|	glycine biosynthesis IV	false	50	0	0	0	THREONINE-ALDOLASE-RXN 
|HCAMHPDEG-PWY|	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	false	0	0	1	0	
|HEME-BIOSYNTHESIS-II|	heme b biosynthesis I (aerobic)	false	75	0	0	0	UROGENDECARBOX-RXN PROTOHEMEFERROCHELAT-RXN RXN0-1461 
|HEMESYN2-PWY|	heme b biosynthesis II (anaerobic)	false	75	0	0	0	PROTOHEMEFERROCHELAT-RXN UROGENDECARBOX-RXN RXN0-6259 
|HEXPPSYN-PWY|	hexaprenyl diphosphate biosynthesis	false	0	0	0	0	
|HISDEG-PWY|	L-histidine degradation I	false	0	0	0	0	
|HISHP-PWY|	L-histidine degradation VI	false	25	1	0	0	
|HISTDEG-PWY|	L-histidine degradation IV	false	0	1	0	0	
|HISTSYN-PWY|	L-histidine biosynthesis	false	70	0	0	0	HISTALDEHYD-RXN HISTOLDEHYD-RXN HISTAMINOTRANS-RXN IMIDPHOSDEHYD-RXN GLUTAMIDOTRANS-RXN PRIBFAICARPISOM-RXN ATPPHOSPHORIBOSYLTRANS-RXN 
|HOMOCYSDEGR-PWY|	L-cysteine biosynthesis III (from L-homocysteine)	true	100	0	0	0	CYSTATHIONINE-BETA-SYNTHASE-RXN RXN-14048 
|HOMOSER-METSYN-PWY|	L-methionine biosynthesis I	false	60	0	2	2	HOMSUCTRAN-RXN O-SUCCHOMOSERLYASE-RXN RXN-15131 
|HOMOSERSYN-PWY|	L-homoserine biosynthesis	true	100	0	0	0	ASPARTATEKIN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN HOMOSERDEHYDROG-RXN 
|HOMOSER-THRESYN-PWY|	L-threonine biosynthesis	true	100	0	0	0	HOMOSERKIN-RXN THRESYN-RXN 
|HYDROXYPRODEG-PWY|	trans-4-hydroxy-L-proline degradation I	false	25	1	0	0	
|IDNCAT-PWY|	L-idonate degradation	false	0	0	0	0	
|ILEUDEG-PWY|	L-isoleucine degradation I	false	66	0	0	0	BRANCHED-CHAINAMINOTRANSFERILEU-RXN 1.1.1.178-RXN TIGLYLCOA-HYDROXY-RXN METHYLACETOACETYLCOATHIOL-RXN 
|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	false	80	0	1	0	DIHYDROXYMETVALDEHYDRAT-RXN BRANCHED-CHAINAMINOTRANSFERILEU-RXN ACETOOHBUTREDUCTOISOM-RXN ACETOOHBUTSYN-RXN 
|KDO-LIPASYN-PWY|	(Kdo)2-lipid A biosynthesis I	false	0	0	0	0	
|KDOSYN-PWY|	Kdo transfer to lipid IVA I	true	100	0	0	0	KDOTRANS-RXN KDOTRANS2-RXN 
|LACTOSECAT-PWY|	lactose and galactose degradation I	false	0	0	0	0	
|LACTOSEUTIL-PWY|	lactose degradation II	false	33	1	1	1	KETOLACTOSE-RXN 
|LARABITOLUTIL-PWY|	xylitol degradation	false	0	0	1	0	
|LCYSDEG-PWY|	L-cysteine degradation II	true	100	0	1	1	RXN-15129 RXN-15129 
|LEU-DEG2-PWY|	L-leucine degradation I	true	85	1	1	1	BRANCHED-CHAINAMINOTRANSFERLEU-RXN METHYLCROTONYL-COA-CARBOXYLASE-RXN METHYLGLUTACONYL-COA-HYDRATASE-RXN HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN RXN0-2301 
|LEUSYN-PWY|	L-leucine biosynthesis	true	100	1	0	0	3-ISOPROPYLMALDEHYDROG-RXN BRANCHED-CHAINAMINOTRANSFERLEU-RXN 3-ISOPROPYLMALISOM-RXN 2-ISOPROPYLMALATESYN-RXN RXN-8991 
|LIPA-CORESYN-PWY|	lipid A-core biosynthesis (E. coli K-12)	false	27	2	0	0	RXN0-5061 
|LIPAS-PWY|	triacylglycerol degradation	false	0	0	1	0	
|LIPASYN-PWY|	phospholipases	false	0	0	0	0	
|LYSDEGII-PWY|	L-lysine degradation III	false	33	3	0	0	GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN VAGL-RXN 
|LYSINE-AMINOAD-PWY|	L-lysine biosynthesis IV	false	11	3	1	0	HOMOCITRATE-SYNTHASE-RXN 
|LYSINE-DEG1-PWY|	L-lysine degradation XI (mammalian)	false	20	1	0	0	
|LYXMET-PWY|	L-lyxose degradation	false	25	1	0	0	
|MALATE-ASPARTATE-SHUTTLE-PWY|	L-aspartate degradation II	true	100	0	0	0	ASPAMINOTRANS-RXN MALATE-DEH-RXN 
|MALTOSECAT-PWY|	maltose degradation	false	0	0	1	0	
|MANNCAT-PWY|	D-mannose degradation	false	0	0	0	0	
|MANNIDEG-PWY|	mannitol degradation I	false	0	0	0	0	
|MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS|	protein N-glycosylation initial phase (eukaryotic)	false	5	11	0	0	RXN-5464 
|M-CRESOL-DEGRADATION-PWY|	m-cresol degradation	false	20	1	0	0	
|MENAQUINONESYN-PWY|	menaquinol-8 biosynthesis	true	100	0	0	0	ADOMET-DMK-METHYLTRANSFER-RXN 
|METH-ACETATE-PWY|	methanogenesis from acetate	false	14	1	0	0	
|METHANOGENESIS-PWY|	methanogenesis from H2 and CO2	false	0	0	0	0	
|METHFORM-PWY|	methyl-coenzyme M reduction to methane	false	0	0	0	0	
|METHIONINE-DEG1-PWY|	L-methionine degradation I (to L-homocysteine)	false	66	1	0	0	S-ADENMETSYN-RXN ADENOSYLHOMOCYSTEINASE-RXN 
|METHYLGALLATE-DEGRADATION-PWY|	methylgallate degradation	false	40	1	0	0	OXALODECARB-RXN 
|MGLDLCTANA-PWY|	methylglyoxal degradation VI	false	50	0	0	0	LACTALDEHYDE-OXI-RXN D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN 
|N2FIX-PWY|	nitrogen fixation I (ferredoxin)	false	0	0	0	0	
|NAD-BIOSYNTHESIS-III|	NAD biosynthesis III (from nicotinamide)	false	0	0	1	0	
|NAD-BIOSYNTHESIS-II|	NAD salvage pathway III (to nicotinamide riboside)	false	50	0	2	1	RXN-5822 RXN-5841 
|NADPHOS-DEPHOS-PWY-1|	NAD phosphorylation and transhydrogenation	true	100	0	0	0	NAD-KIN-RXN TRANS-RXN0-277 
|NAGLIPASYN-PWY|	lipid IVA biosynthesis	true	83	0	0	0	LIPIDADISACCHARIDESYNTH-RXN TETRAACYLDISACC4KIN-RXN UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN UDPACYLGLCNACDEACETYL-RXN UDPNACETYLGLUCOSAMACYLTRANS-RXN 
|NONMEVIPP-PWY|	methylerythritol phosphate pathway I	true	66	0	1	1	DXS-RXN DXPREDISOM-RXN RXN0-884 ISPH2-RXN 2.7.1.148-RXN RXN-15878 
|NONOXIPENT-PWY|	pentose phosphate pathway (non-oxidative branch)	true	80	0	0	0	2TRANSKETO-RXN 1TRANSKETO-RXN RIBULP3EPIM-RXN RIB5PISOM-RXN 
|NOPALINEDEG-PWY|	nopaline degradation	false	0	0	0	0	
|NPGLUCAT-PWY|	Entner-Doudoroff pathway II (non-phosphorylative)	false	30	0	0	0	2PGADEHYDRAT-RXN PEPDEPHOS-RXN GKI-RXN 
|OCTOPINEDEG-PWY|	octopine degradation	false	0	0	0	0	
|ORN-AMINOPENTANOATE-CAT-PWY|	L-ornithine degradation I (L-proline biosynthesis)	false	0	0	0	0	
|OXIDATIVEPENT-PWY|	pentose phosphate pathway (oxidative branch) I	false	0	0	0	0	
|P101-PWY|	ectoine biosynthesis	false	60	0	1	0	R101-RXN ASPARTATEKIN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN 
|P105-PWY|	TCA cycle IV (2-oxoglutarate decarboxylase)	false	91	0	2	1	CITSYN-RXN CITSYN-RXN ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN FUMHYDR-RXN ISOCIT-CLEAV-RXN MALSYN-RXN SUCCSEMIALDDEHYDROG-RXN ISOCITDEH-RXN MALATE-DEH-RXN RXN-14971 
|P108-PWY|	pyruvate fermentation to propanoate I	true	71	0	1	1	FUMHYDR-RXN R601-RXN METHYLMALONYL-COA-MUT-RXN 2.1.3.1-RXN MALATE-DEH-RXN 
|P121-PWY|	adenine and adenosine salvage I	false	0	0	0	0	
|P122-PWY|	heterolactic fermentation	false	52	0	0	0	6PGLUCONDEHYDROG-RXN RIBULP3EPIM-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN RXN-15513 2PGADEHYDRAT-RXN PEPDEPHOS-RXN ALCOHOL-DEHYDROG-RXN FRUCTOKINASE-RXN GLUCOKIN-RXN 
|P124-PWY|	Bifidobacterium shunt	false	47	0	2	0	1TRANSKETO-RXN RIB5PISOM-RXN RIBULP3EPIM-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN GLUCOKIN-RXN 
|P141-PWY|	atrazine degradation I (aerobic)	false	0	0	1	0	
|P161-PWY|	acetylene degradation (anaerobic)	false	16	0	1	0	ALCOHOL-DEHYDROG-RXN 
|P162-PWY|	L-glutamate degradation V (via hydroxyglutarate)	false	46	0	0	0	GLUTAMATE-DEHYDROGENASE-RXN BUTYRYL-COA-DEHYDROGENASE-RXN RXN-11667 RXN-11662 ACETYL-COA-ACETYLTRANSFER-RXN ACETYL-COA-ACETYLTRANSFER-RXN 
|P163-PWY|	L-lysine fermentation to acetate and butanoate	false	25	0	1	0	ACETYL-COA-ACETYLTRANSFER-RXN ACETYL-COA-ACETYLTRANSFER-RXN BUTYRYL-COA-DEHYDROGENASE-RXN 
|P164-PWY|	purine nucleobases degradation I (anaerobic)	false	17	6	0	0	GUANINE-DEAMINASE-RXN 1.2.1.2-RXN METHENYLTHFCYCLOHYDRO-RXN 
|P181-PWY|	nicotine degradation I (pyridine pathway)	false	42	1	0	0	NICOTINE-DEHYDROGENASE-RXN R161-RXN SUCCSEMIALDDEHYDROG-RXN RXN-13067 GABATRANSAM-RXN 
|P183-PWY|	catechol degradation to 2-hydroxypentadienoate I	false	0	0	0	0	
|P184-PWY|	protocatechuate degradation I (meta-cleavage pathway)	false	16	0	1	0	OXALODECARB-RXN 
|P185-PWY|	formaldehyde assimilation III (dihydroxyacetone cycle)	true	75	0	1	1	FORMALDEHYDE-TRANSKETOLASE-RXN F16ALDOLASE-RXN 2TRANSKETO-RXN TRIOSEPISOMERIZATION-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 1TRANSKETO-RXN RIB5PISOM-RXN RIBULP3EPIM-RXN 
|P201-PWY|	nitroglycerin degradation	false	0	5	0	0	
|P203-PWY|	sulfur disproportionation I (anaerobic)	false	0	1	0	0	
|P21-PWY|	pentose phosphate pathway (partial)	true	100	0	0	0	RIBULP3EPIM-RXN 1TRANSKETO-RXN 2TRANSKETO-RXN 
|P221-PWY|	octane oxidation	false	60	0	1	0	R221-RXN R222-RXN R223-RXN 
|P222-PWY|	sulfide oxidation I (sulfide-quinone reductase)	false	0	0	0	0	
|P224-PWY|	dissimilatory sulfate reduction II (to thiosulfate)	false	20	1	0	0	
