id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
a9ci32	3.a.1.12.13	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	35.216	4.50e-43	157	86	STY4_bin_1_NODE_177_length_30030_cov_539.334	23206	22337
b0m926	3.a.10.1.5	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	52.774	7.48e-156	497	95	STY4_bin_1_NODE_2_length_187527_cov_473.197	76246	74252
b0m926	3.a.10.1.5	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	52.774	7.48e-156	497	95	STY4_bin_1_NODE_2_length_187527_cov_473.197	76246	74252
b3ecg6	3.a.10.1.6	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	49.492	1.80e-144	465	98	STY4_bin_1_NODE_2_length_187527_cov_473.197	76237	74252
b3ecg6	3.a.10.1.6	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	49.492	1.80e-144	465	98	STY4_bin_1_NODE_2_length_187527_cov_473.197	76237	74252
b3ecg7	3.a.10.3.2	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	29.002	4.05e-40	159	76	STY4_bin_1_NODE_2_length_187527_cov_473.197	76033	74291
b3et62	3.a.23.6.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	52.761	5.36e-105	335	97	STY2_bin_2_NODE_26_length_56691_cov_33.0094	6487	7464
b4ey22	2.a.15.2.2	carnitine	EX_cpd00266_e0	rxn08262,rxn09691,rxn12364,rxn12605,rxn09773,rxn09858	gnl|tc-db|b4ey22|2.a.15.2.2	27.539	1.77e-40	155	95	STY2_bin_2_NODE_114_length_31341_cov_35.7581	13379	11856
b5jqt8	3.a.10.1.12	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	50.457	1.33e-124	408	76	STY4_bin_1_NODE_2_length_187527_cov_473.197	75823	74261
b5jqt8	3.a.10.1.12	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	50.457	1.33e-124	408	76	STY4_bin_1_NODE_2_length_187527_cov_473.197	75823	74261
b7l6n0	3.a.1.19.4	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	37.838	1.22e-26	105	94	STY1_bin_1_NODE_376_length_16151_cov_28.1383	1171	635
b7l6n0	3.a.1.19.4	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	37.838	1.22e-26	105	94	STY1_bin_1_NODE_376_length_16151_cov_28.1383	1171	635
b8f5k7	4.d.1.3.2	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|b8f5k7|4.d.1.3.2	27.778	3.50e-28	111	100	STY4_bin_1_NODE_292_length_22380_cov_469.769	13906	14646
b9tsn0	2.a.56.1.6	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|b9tsn0|2.a.56.1.6	19.708	7.67e-04	37.4	76	STY2_bin_2_NODE_14_length_71405_cov_33.0306	3981	3580
b9tsn0	2.a.56.1.6	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|b9tsn0|2.a.56.1.6	19.708	7.67e-04	37.4	76	STY2_bin_2_NODE_14_length_71405_cov_33.0306	3981	3580
b9tsn0	2.a.56.1.6	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|b9tsn0|2.a.56.1.6	19.708	7.67e-04	37.4	76	STY2_bin_2_NODE_14_length_71405_cov_33.0306	3981	3580
b9tsn0	2.a.56.1.6	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|b9tsn0|2.a.56.1.6	19.708	7.67e-04	37.4	76	STY2_bin_2_NODE_14_length_71405_cov_33.0306	3981	3580
c0h3v2	4.a.2.1.5	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	27.083	1.08e-07	47.8	97	STY4_bin_1_NODE_17_length_74164_cov_478.465	70291	70710
c1p5z7	4.a.1.1.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	29.268	5.7	21.9	84	STY4_bin_1_NODE_4_length_120519_cov_465.846	65899	65783
c4zzu4	2.a.1.14.40	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	20.000	0.068	33.9	91	STY4_bin_1_NODE_2_length_187527_cov_473.197	115580	116713
d2rdx9	2.a.20.3.4	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|d2rdx9|2.a.20.3.4	24.204	6.42e-11	61.6	93	STY4_bin_1_NODE_67_length_45416_cov_442.926	16416	15475
d3r797	3.a.1.1.53	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	28.516	2.03e-17	80.9	81	STY2_bin_2_NODE_316_length_18075_cov_32.1719	9194	8454
d3r798	3.a.1.1.53	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	27.823	4.99e-26	107	75	STY2_bin_2_NODE_316_length_18075_cov_32.1719	10115	9375
d5al45	3.a.1.210.15	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	49.913	2.25e-172	542	93	STY4_bin_1_NODE_425_length_18158_cov_452.395	16250	17959
d5al45	3.a.1.210.15	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	49.913	2.25e-172	542	93	STY4_bin_1_NODE_425_length_18158_cov_452.395	16250	17959
d5alt6	2.a.56.3.4	dctp	EX_cpd00356_e0	rxn29860	gnl|tc-db|d5alt6|2.a.56.3.4	37.975	8.85e-56	195	87	STY3_bin_1_NODE_525_length_12305_cov_129.733	6289	7236
d5aqy6	3.a.1.23.7	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	33.023	3.81e-27	108	85	STY4_bin_1_NODE_4_length_120519_cov_465.846	101974	101357
d5arh0	3.a.1.25.7	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	35.385	3.77e-19	84.3	80	STY4_bin_1_NODE_367_length_19970_cov_586.76	18984	18412
d5atk1	2.a.56.3.4	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|d5atk1|2.a.56.3.4	38.043	9.47e-58	209	83	STY4_bin_1_NODE_9_length_100063_cov_443.882	4102	5667
d5atk1	2.a.56.3.4	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|d5atk1|2.a.56.3.4	38.043	9.47e-58	209	83	STY4_bin_1_NODE_9_length_100063_cov_443.882	4102	5667
d5atk1	2.a.56.3.4	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|d5atk1|2.a.56.3.4	38.043	9.47e-58	209	83	STY4_bin_1_NODE_9_length_100063_cov_443.882	4102	5667
d5atk1	2.a.56.3.4	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|d5atk1|2.a.56.3.4	38.043	9.47e-58	209	83	STY4_bin_1_NODE_9_length_100063_cov_443.882	4102	5667
d7ae10	3.a.1.23.3	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	30.870	2.07e-25	103	78	STY4_bin_1_NODE_665_length_14395_cov_437.523	9882	9205
e7rs29	3.a.10.1.11	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|e7rs29|3.a.10.1.11	50.358	3.97e-120	395	75	STY1_bin_1_NODE_33_length_65705_cov_20.7475	27698	26163
e7rs29	3.a.10.1.11	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|e7rs29|3.a.10.1.11	50.358	3.97e-120	395	75	STY1_bin_1_NODE_33_length_65705_cov_20.7475	27698	26163
f9vn10	3.d.10.1.4	succinate	EX_cpd00036_e0,EX_cpd00036_e0	rxn10138	gnl|tc-db|f9vn10|3.d.10.1.4	44.482	3.33e-132	424	99	STY4_bin_1_NODE_190_length_28761_cov_488.315	1783	3540
g5eb95	3.a.1.5.40	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	31.628	3.56e-29	113	100	STY4_bin_1_NODE_5_length_111668_cov_444.387	64984	64355
g8v0i4	3.a.1.5.33	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g8v0i4|3.a.1.5.33	23.422	2.89e-18	87.0	82	STY1_bin_1_NODE_147_length_28361_cov_21.786	6085	4763
g8wdn4	2.a.76.1.10	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|g8wdn4|2.a.76.1.10	28.230	1.48e-13	67.0	91	STY2_bin_2_NODE_40_length_48899_cov_31.3613	17817	18440
o06930	3.b.1.1.4	biotin		rxn05223	gnl|tc-db|o06930|3.b.1.1.4	41.538	8.94e-12	56.2	94	STY4_bin_1_NODE_4_length_120519_cov_465.846	111593	111399
o29097	3.a.1.26.8	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|o29097|3.a.1.26.8	23.678	1.36e-09	58.2	80	STY4_bin_1_NODE_22_length_67542_cov_591.459	2164	3351
o30143	3.a.1.6.8	molybdate		rxn05619,rxn08955	gnl|tc-db|o30143|3.a.1.6.8	27.230	4.32e-16	75.9	79	STY4_bin_1_NODE_177_length_30030_cov_539.334	24879	24256
o30144	3.a.1.6.8	molybdate		rxn05619,rxn08955	gnl|tc-db|o30144|3.a.1.6.8	42.654	4.25e-46	162	90	STY2_bin_2_NODE_277_length_19354_cov_43.0234	6477	5845
o30506	3.a.1.3.11	arginine	EX_cpd00051_e0	rxn05154,rxn08151,rxn11236	gnl|tc-db|o30506|3.a.1.3.11	63.745	7.65e-93	297	99	STY3_bin_1_NODE_479_length_12788_cov_136.755	3715	4467
o30506	3.a.1.3.11	ornithine	EX_cpd00064_e0	rxn05156,rxn09046,rxn27636	gnl|tc-db|o30506|3.a.1.3.11	63.745	7.65e-93	297	99	STY3_bin_1_NODE_479_length_12788_cov_136.755	3715	4467
o30831	3.a.1.1.5	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30831|3.a.1.1.5	26.807	3.25e-28	116	94	STY2_bin_2_NODE_112_length_31501_cov_43.1383	13174	11957
o30832	3.a.1.1.5	mannitol	EX_cpd00314_e0	rxn13853	gnl|tc-db|o30832|3.a.1.1.5	32.319	1.20e-23	99.0	88	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	1867	2643
o30832	3.a.1.1.5	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30832|3.a.1.1.5	32.319	1.20e-23	99.0	88	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	1867	2643
o30833	3.a.1.1.5	mannitol	EX_cpd00314_e0	rxn13853	gnl|tc-db|o30833|3.a.1.1.5	32.014	1.73e-34	130	100	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	2745	3569
o30833	3.a.1.1.5	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30833|3.a.1.1.5	32.014	1.73e-34	130	100	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	2745	3569
o33854	2.a.1.8.15	nitrate		rxn05627,rxn10977,rxn12431,rxn33368	gnl|tc-db|o33854|2.a.1.8.15	29.167	1.74e-31	125	98	STY2_bin_2_NODE_1255_length_9531_cov_95.1129	9490	8279
o34315.2	3.a.1.3.13	cysteine	EX_cpd00084_e0	rxn05237,rxn08280,rxn08281,rxn30473	gnl|tc-db|o34315.2|3.a.1.3.13	26.455	1.15e-11	62.4	78	STY4_bin_1_NODE_172_length_30412_cov_566.554	24757	25302
o34362	3.a.1.30.1	thiamine		rxn05177,rxn09297	gnl|tc-db|o34362|3.a.1.30.1	27.103	6.22e-36	142	92	STY3_bin_1_NODE_84_length_34055_cov_126.5	31679	33211
o34406	3.a.1.3.13	glutamine	EX_cpd00053_e0	rxn05155,rxn08624,rxn11101	gnl|tc-db|o34406|3.a.1.3.13	25.692	1.78e-12	65.5	87	STY1_bin_1_NODE_1013_length_10191_cov_17.4855	1422	2150
o34610	3.a.1.15.11	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|o34610|3.a.1.15.11	25.714	1.45e-12	65.9	87	STY4_bin_1_NODE_8_length_104303_cov_519.895	28008	28739
o34852.2	3.a.1.3.13	cysteine	EX_cpd00084_e0	rxn05237,rxn08280,rxn08281,rxn30473	gnl|tc-db|o34852.2|3.a.1.3.13	25.385	6.05e-14	69.7	91	STY3_bin_1_NODE_654_length_11234_cov_134.656	9553	8798
o34900.2	3.a.1.3.13	cysteine	EX_cpd00084_e0	rxn05237,rxn08280,rxn08281,rxn30473	gnl|tc-db|o34900.2|3.a.1.3.13	48.347	2.79e-66	221	93	STY1_bin_1_NODE_147_length_28361_cov_21.786	9938	9222
o34931.2	3.a.1.3.13	cysteine	EX_cpd00084_e0	rxn05237,rxn08280,rxn08281,rxn30473	gnl|tc-db|o34931.2|3.a.1.3.13	27.632	2.05e-21	90.9	95	STY1_bin_1_NODE_824_length_11024_cov_18.7456	6738	6082
o34946	3.a.1.15.11	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|o34946|3.a.1.15.11	36.224	2.72e-29	113	90	STY4_bin_1_NODE_8_length_104303_cov_519.895	27162	27743
o34966	3.a.1.15.11	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|o34966|3.a.1.15.11	27.273	5.01e-21	92.0	77	STY2_bin_2_NODE_250_length_20551_cov_31.6072	1552	2265
o50181	3.a.1.3.11	arginine	EX_cpd00051_e0	rxn05154,rxn08151,rxn11236	gnl|tc-db|o50181|3.a.1.3.11	57.511	5.28e-86	277	90	STY3_bin_1_NODE_479_length_12788_cov_136.755	4590	5285
o50181	3.a.1.3.11	ornithine	EX_cpd00064_e0	rxn05156,rxn09046,rxn27636	gnl|tc-db|o50181|3.a.1.3.11	57.511	5.28e-86	277	90	STY3_bin_1_NODE_479_length_12788_cov_136.755	4590	5285
o50183	3.a.1.3.11	arginine	EX_cpd00051_e0	rxn05154,rxn08151,rxn11236	gnl|tc-db|o50183|3.a.1.3.11	56.769	1.26e-68	226	99	STY1_bin_1_NODE_824_length_11024_cov_18.7456	6738	6052
o50183	3.a.1.3.11	ornithine	EX_cpd00064_e0	rxn05156,rxn09046,rxn27636	gnl|tc-db|o50183|3.a.1.3.11	56.769	1.26e-68	226	99	STY1_bin_1_NODE_824_length_11024_cov_18.7456	6738	6052
o51236	3.a.1.7.5	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|o51236|3.a.1.7.5	50.373	9.01e-92	294	100	STY1_bin_1_NODE_490_length_14031_cov_17.1271	9618	8815
o51923	3.a.1.1.7	maltose	EX_cpd00179_e0	rxn05170,rxn08867,rxn09673	gnl|tc-db|o51923|3.a.1.1.7	24.205	4.67e-19	88.6	86	STY4_bin_1_NODE_179_length_29791_cov_515.413	13161	12004
o51923	3.a.1.1.7	trehalose	EX_cpd00794_e0	rxn10839	gnl|tc-db|o51923|3.a.1.1.7	24.205	4.67e-19	88.6	86	STY4_bin_1_NODE_179_length_29791_cov_515.413	13161	12004
o51925	3.a.1.1.7	maltose	EX_cpd00179_e0	rxn05170,rxn08867,rxn09673	gnl|tc-db|o51925|3.a.1.1.7	31.349	6.12e-37	137	91	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	2826	3569
o51925	3.a.1.1.7	trehalose	EX_cpd00794_e0	rxn10839	gnl|tc-db|o51925|3.a.1.1.7	31.349	6.12e-37	137	91	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	2826	3569
o54368	3.a.1.20.1	iron		rxn05555,rxn08472	gnl|tc-db|o54368|3.a.1.20.1	25.987	3.10e-07	50.4	84	STY4_bin_1_NODE_177_length_30030_cov_539.334	26309	25422
o54369	3.a.1.20.1	iron		rxn05555,rxn08472	gnl|tc-db|o54369|3.a.1.20.1	26.022	5.50e-10	58.9	77	STY4_bin_1_NODE_177_length_30030_cov_539.334	26276	25485
o68106	3.a.1.23.8	cobalt		rxn05166,rxn08239	gnl|tc-db|o68106|3.a.1.23.8	31.081	4.63e-30	117	82	STY4_bin_1_NODE_4_length_120519_cov_465.846	101959	101300
o68460	3.a.10.2.1	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|o68460|3.a.10.2.1	44.330	1.86e-125	410	95	STY4_bin_1_NODE_2_length_187527_cov_473.197	76204	74279
o83341	3.a.1.2.10	galactose	EX_cpd00108_e0	rxn05162,rxn08573	gnl|tc-db|o83341|3.a.1.2.10	40.741	3.35e-110	359	98	STY2_bin_2_NODE_1439_length_9021_cov_29.4994	6355	4793
o83341	3.a.1.2.10	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|o83341|3.a.1.2.10	40.741	3.35e-110	359	98	STY2_bin_2_NODE_1439_length_9021_cov_29.4994	6355	4793
o83342	3.a.1.2.10	galactose	EX_cpd00108_e0	rxn05162,rxn08573	gnl|tc-db|o83342|3.a.1.2.10	31.731	2.62e-15	76.3	75	STY1_bin_1_NODE_75_length_40563_cov_18.4868	4740	3862
o83342	3.a.1.2.10	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|o83342|3.a.1.2.10	31.731	2.62e-15	76.3	75	STY1_bin_1_NODE_75_length_40563_cov_18.4868	4740	3862
o83343	3.a.1.2.10	galactose	EX_cpd00108_e0	rxn05162,rxn08573	gnl|tc-db|o83343|3.a.1.2.10	36.196	1.53e-49	175	99	STY2_bin_2_NODE_1439_length_9021_cov_29.4994	3671	2709
o83343	3.a.1.2.10	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|o83343|3.a.1.2.10	36.196	1.53e-49	175	99	STY2_bin_2_NODE_1439_length_9021_cov_29.4994	3671	2709
ols20017	3.a.1.19.6	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|ols20017|3.a.1.19.6	20.534	0.66	31.2	75	STY4_bin_1_NODE_2_length_187527_cov_473.197	185278	186552
ols20019	3.a.1.19.6	maltodextrin		rxn11140	gnl|tc-db|ols20019|3.a.1.19.6	30.556	1.35e-54	192	96	STY1_bin_1_NODE_21_length_76331_cov_22.1833	6579	5533
ols20019	3.a.1.19.6	maltose	EX_cpd00179_e0	rxn05170,rxn08867,rxn09673	gnl|tc-db|ols20019|3.a.1.19.6	30.556	1.35e-54	192	96	STY1_bin_1_NODE_21_length_76331_cov_22.1833	6579	5533
ols20029	3.a.1.1.54	maltose	EX_cpd00179_e0	rxn05170,rxn08867,rxn09673	gnl|tc-db|ols20029|3.a.1.1.54	42.091	3.70e-96	312	98	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	3572	4612
ols20029	3.a.1.1.54	trehalose	EX_cpd00794_e0	rxn10839	gnl|tc-db|ols20029|3.a.1.1.54	42.091	3.70e-96	312	98	STY2_bin_2_NODE_4150_length_5820_cov_35.7844	3572	4612
ols24538	3.a.1.2.30	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|ols24538|3.a.1.2.30	35.556	2.40e-91	305	95	STY2_bin_2_NODE_1439_length_9021_cov_29.4994	6352	4805
ols25602	3.a.1.3.30	glutamine	EX_cpd00053_e0	rxn05155,rxn08624,rxn11101	gnl|tc-db|ols25602|3.a.1.3.30	47.410	3.93e-68	226	95	STY3_bin_1_NODE_479_length_12788_cov_136.755	3709	4458
p02915	3.a.1.3.1	histidine	EX_cpd00119_e0	rxn05164,rxn08718	gnl|tc-db|p02915|3.a.1.3.1	62.162	4.19e-96	306	99	STY3_bin_1_NODE_479_length_12788_cov_136.755	3694	4467
p02925	3.a.1.2.1	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|p02925|3.a.1.2.1	32.847	3.27e-35	133	92	STY4_bin_1_NODE_2_length_187527_cov_473.197	152129	151308
p04816	3.a.1.4.1	leucine	EX_cpd00107_e0,EX_cpd00107_e0	rxn05161,rxn08784	gnl|tc-db|p04816|3.a.1.4.1	23.607	9.83e-16	77.4	81	STY4_bin_1_NODE_67_length_45416_cov_442.926	13982	13071
p04983	3.a.1.2.1	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|p04983|3.a.1.2.1	40.123	2.37e-107	350	97	STY2_bin_2_NODE_26_length_56691_cov_33.0094	20949	19501
p05417	3.d.3.1.1	iron		rxn05555,rxn08472	gnl|tc-db|p05417|3.d.3.1.1	38.119	3.27e-26	103	99	STY2_bin_2_NODE_228_length_21491_cov_36.2646	12127	11534
p05706	4.a.4.1.1	sorbitol	EX_cpd00588_e0	rxn09242,rxn10184,rxn29070	gnl|tc-db|p05706|4.a.4.1.1	26.230	0.017	32.3	93	STY2_bin_2_NODE_3_length_112532_cov_30.2027	18609	18277
p06609	3.a.1.13.1	vitamin b12		rxn05187	gnl|tc-db|p06609|3.a.1.13.1	30.345	2.57e-14	72.0	86	STY1_bin_1_NODE_161_length_26556_cov_35.6779	18637	19500
p06611	3.a.1.13.1	vitamin b12		rxn05187	gnl|tc-db|p06611|3.a.1.13.1	30.702	2.71e-19	85.1	89	STY1_bin_1_NODE_24_length_74968_cov_22.6092	65220	65864
p07109	3.a.1.3.29	histidine	EX_cpd00119_e0	rxn05164,rxn08718	gnl|tc-db|p07109|3.a.1.3.29	61.776	3.16e-95	304	100	STY3_bin_1_NODE_479_length_12788_cov_136.755	3694	4467
